ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015
147,"Slovenia, Rep. of",SI,SVN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,100,88.568066989088,77.7515392046034,86.876609914062,82.8391173110997,75.315285318534,87.253061698556,81.9813222836857,77.1915251465258,86.5362028608743
148,"Slovenia, Rep. of",SI,SVN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,251.808113379143,223.021578541598,195.784683994357,218.762352392357,208.595618441015,189.649999046719,219.710288528673,206.435620965824,194.374523160053,217.905179813916
149,Spain,ES,ESP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,,,,,100,132.0766761
150,Spain,ES,ESP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,,,,,67.52249534,89.18146748
151,Spain,ES,ESP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,,,,,100,125.339185363518
152,Spain,ES,ESP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,,,,,141.353661708491,177.171528066926
153,Switzerland,CH,CHE,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,100,97.4452623587009,79.0576477645024,82.5802048371005,79.3252524681103,66.7841949180686,64.9132709564264
154,Switzerland,CH,CHE,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,19.3280238160676,18.8346692966808,15.2805549998015,15.9629312848711,15.3338909629773,12.9086072463217,12.5468656484365
155,Switzerland,CH,CHE,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,100,97.7633433541443,79.9717196189443,84.5180292442001,79.8468451168753,69.3003333100145,65.2591562813787
156,Switzerland,CH,CHE,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,39.7716352688406,38.8820803454346,31.8060606450664,33.6142023274153,31.7563960135597,27.5618758041498,25.9546336157526
157,Tunisia,TN,TUN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,108.964941403159,114.011676549866,94.0053950882825,102.792895884685,124.925667366493,107.375817620775,124.409718594609,118.852127507974,121.834780820314,141.785019089786
158,Tunisia,TN,TUN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,219.960707337131,239.680055859878,250.780890186007,206.774931971251,226.103980880273,274.787381584968,236.184607947684,273.652497016836,261.427980351768,267.988645675006,311.871330887979
159,Tunisia,TN,TUN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,103.301506539259,102.110247127217,84.4450643285275,94.7615090887321,109.908147336138,95.0325094631866,105.683389046925,100.987892478599,103.097840077557,117.828294484019
160,Tunisia,TN,TUN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,431.282094155786,445.520900696991,440.383212157911,364.196441847274,408.689420851509,474.014159479122,409.858196941626,455.793533456385,435.542697525494,444.64252371587,508.172335958723
161,Turkey,TR,TUR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,107.381207491531,91.5059342806601,69.8658881704154,86.799416981503,92.2334684974779,98.5268826642144,102.076720690439,97.5328218207379,108.89556098732,128.204533279509
162,Turkey,TR,TUR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,157.278616478338,168.887677500414,143.919267432199,109.884102304732,136.516922139771,145.063523182817,154.961717913511,160.544854048379,153.398272771939,171.269431727181,201.638316204522
163,Turkey,TR,TUR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,102.250479417535,90.8868826794716,74.1465719636966,90.8756443974711,88.0921867228099,91.1187141105859,90.9967092528317,86.2748519152572,96.5872230979961,111.900611163328
164,Turkey,TR,TUR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,419.351508803292,428.788928196033,381.135513820642,310.93476825568,381.088385915509,369.415914159916,382.1077024249,381.596073213094,361.794893224437,405.039977372648,469.256901273519
